,name,artist,duration,rank,mbid
0,HURT,JOHNNY CASH,218.0,1,25d8de5e-3662-4ffd-8dea-511a696ac3e7
1,RING OF FIRE,JOHNNY CASH,156.0,2,bfd37140-14fd-497a-a39d-c133011ac244
2,I WALK THE LINE,JOHNNY CASH,146.0,3,ac740922-242a-4ced-8138-4a6d7e68ab2a
3,I WILL WAIT,MUMFORD & SONS,276.0,4,18d30fc9-32e3-494d-b68a-ede6b2fe63c1
4,WAKE ME UP,AVICII,246.0,5,72281f36-2845-4c70-95fd-bffbbeab1ef8
5,LOVE STORY,TAYLOR SWIFT,233.0,6,9086b742-358b-4f73-9a14-84cb1a9ce4ce
6,NOT FAIR,LILY ALLEN,201.0,7,d6461b2c-b66b-422d-affa-06330e838846
7,THIS IS THE LIFE,AMY MACDONALD,185.0,8,88897259-36c9-4335-93b8-100d2bcab832
8,FOLSOM PRISON BLUES,JOHNNY CASH,159.0,9,08e81f81-71e2-44d1-93c4-a604c7682f6b
9,NEED YOU NOW,LADY ANTEBELLUM,235.0,10,5f035e66-dac6-4032-854a-b688babb52dc
10,YOU BELONG WITH ME,TAYLOR SWIFT,231.0,11,fffea9e9-43bb-4bff-907d-8ff75a54c399
11,LAY LADY LAY,BOB DYLAN,198.0,12,1c7f34ef-6796-47cb-b593-1aeafc9bb0fc
12,LOOKIN' OUT MY BACK DOOR,CREEDENCE CLEARWATER REVIVAL,164.0,13,4e1e47e6-8fc5-4c79-86b8-7f9b0a12de83
13,TAKE IT EASY,EAGLES,211.0,14,d5abb4ca-8cd5-468a-bdbc-53f3223bb9be
14,JOLENE,DOLLY PARTON,162.0,15,0cf427a9-266d-4629-a2c3-2e4ce90534ac
15,THE CLIMB,MILEY CYRUS,236.0,16,4fd5584d-458f-4664-b139-05018e0891d4
16,HEY BROTHER,AVICII,192.0,17,e6d35064-da9c-43e7-a627-b919935bcdaa
17,PERSONAL JESUS,JOHNNY CASH,202.0,18,3c28eb47-edbe-49fe-ae24-7102dbda9b96
